face_id,age,gender,relationship,music_genre,band,team,first_name,last_name,education,education_prompt,work,work_prompt,fav_movie_1,fav_movie_2,fav_book_1,fav_book_2,fav_book_3,fav_auth_1,fav_auth_2,fav_auth_3,fav_food_1,fav_food_2,fav_food_3,home_city,home_state,languages,hogwarts,fav_pet,vg_genre,fav_video_game,spouse_id,n_friends,credit,gender_female,gender_male,relationship_married,relationship_single,relationship_widowed,music_genre_classical,music_genre_country,music_genre_electronic,music_genre_folk,music_genre_heavy metal,music_genre_hip-hop,music_genre_jazz,music_genre_rock,music_genre_tibetian throat singing,hogwarts_gryffindor,hogwarts_hufflepuff,hogwarts_ravenclaw,hogwarts_slytherin,fav_pet_birds,fav_pet_cats,fav_pet_dogs,fav_pet_fish,fav_pet_horses,fav_pet_reptiles,fav_pet_rodents
1,12.0,male,single,country,Terminal Of The Authority,Kansas City Chiefs,Gary,Stearns,none,Goes to Pleasant Grove Grammar School,unemployed,,"['La vita è bella', 'Addams Family Values', 'Once Upon a Time in Venice']","['The Shortcut', 'Gremlins 2: The New Batch', 'Shaun of the Dead']",Inferno,The Second Summer of the Sisterhood,Omertà,Dan Brown,Ann Brashares,Mario Puzo,Fried Green Tomato BLT ,Sweet-Pea Canapes ,"Squid Ink Pasta with Shrimp, Nduja, and Tomato ",Madeira,OH,3,gryffindor,rodents,Racing,Need for Speed Underground,0,4,0.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
2,43.0,male,single,heavy metal,Mutant Be,Arizona Cardinals,Andre,Garfinkle,general_education,Went to Elk Valley School,Provider Federated Universal,Works ascook atProvider Federated Universal,"['Justice League', 'The Scorpion King: Rise of a Warrior', 'El laberinto del fauno']","['The Amazing Spider-Man', 'The Lego Batman Movie', 'Jupiter Ascending']",Dead or Alive,Мастер и Маргарита,The Copper Beech,"Tom Clancy, Grant Blackwood","Mikhail Bulgakov, Katherine Tiernan O'Connor, Diana Burgin, Ellendea Proffer",Maeve Binchy,Spicy Fennel-Meyer Lemon Mignonette ,Sesame Seed and Árbol Chile Salsa ,Crisp Potato Pancakes with Goat Cheese on Mixed Greens ,Berkley,MI,4,gryffindor,rodents,Role-Playing,Fallout 4,0,13,0.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
3,42.0,male,single,folk,Triumphant Petition,Jacksonville Jaguars,John,Landrum,doctor,Went to Waterford College,Industries Technology Omega,Works as professor at Industries Technology Omega,"['Terminator 2: Judgment Day', 'Planet of the Apes', 'Mad Max: Fury Road']","['Titanic', 'Sing', 'The Godfather: Part II']",The Outsiders,Misbehaving, NW ,S.E. Hinton,Abbi Glines,Zadie Smith,Salted Coconut Granola ,Salted Honey and Chocolate Bark ,Orange Roughy with Indian-Spiced Tomato Sauce ,Wagner,PA,3,hufflepuff,rodents,Role-Playing,The Elder Scrolls V: Skyrim,0,9,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,29.0,female,married,country,Vitally Technicality With The Beaker Breaker,Oakland Raiders,Sandra,Cole,general_education,Went to Sandalwood University,Building Software Innovation,Works aswaiter atBuilding Software Innovation,"['Stories We Tell', 'Inside Job', ""Being Elmo: A Puppeteer's Journey""]","['The Shining', 'The Hunger Games: Mockingjay - Part 1', 'Super 8']",There's a Nightmare in My Closet (Pied Piper Book),Friday Night Bites: A Chicagoland Vampires Novel ,Tricked,Mercer Mayer,Chloe Neill,Kevin Hearne,"Sauteed Chicken Breasts with Pear, Bell Pepper, and Cilantro Salsa ",Poached Oysters in Fennel-Saffron Soup ,Brown-Sugar Pudding ,St. Johns,MI,3,slytherin,rodents,Role-Playing,The Witcher 3: Wild Hunt,0,3,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
5,50.0,male,married,heavy metal,Der Carnage,Miami Dolphins,Ricky,Franklin,bachelor,Went to Monarch College,North Medicine,Works aswriterat North Medicine,"[""Schindler's List"", 'Equals', 'Gladiator']","['Rough Night', 'The Dark Knight Rises', 'The Imitation Game']",The Freedom Writers Diary: How a Teacher and 150 Teens Used Writing to Change Themselves and the World Around Them,Peeps,Islands in the Stream,"Erin Gruwell, Zlata Filipović, The Freedom Writers",Scott Westerfeld,Ernest Hemingway,"Toasted Gruyère, Golden Onion, and Apple Sandwiches ",Yogurt-Lime Sorbet ,"Cornmeal Pound Cake with Rosemary Syrup, Poached Pears, and Candied Rosemary ",Broadway,NC,1,slytherin,rodents,Visual Novel,Tears to Tiara II: Heir of the Overlord,618,17,1.0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,55.0,male,single,tibetian throat singing,,Chicago Bears,Kareem,Pilcher,general_education,Went to Crossroads Technical School,Provider Signal Venture,Works aspainter atProvider Signal Venture,"['Pixels', 'Chappie', 'Rogue One: A Star Wars Story']","['Captain Underpants: The First Epic Movie', 'Despicable Me 2', ""A Bug's Life""]",The Mothers,Knocked out by my nunga-nungas,Coraline,Brit Bennett,Louise Rennison,Neil Gaiman,Cassoulet Soup ,Shaved Root Vegetable Salad ,Creamy Polenta ,Port Murray,NJ,1,hufflepuff,birds,Racing,The Simpsons: Hit & Run,0,19,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
7,6.0,female,single,hip-hop,Puzzling Of Missle,Miami Dolphins,Shirley,Plunkett,none,Goes to Independence Elementary,unemployed,,"['The Visit', ""Michael Jackson's Thriller"", '부산행']","['Equals', 'Terminator Genisys', 'Transformers: Age of Extinction']",Pure,,"High Druid of Shannara, vol. 1: Jarka Ruus",Jennifer L. Armentrout,"Penelope Douglas, Jeremy York, Tatiana Sokolov",Terry Brooks,"Goodnight, Irene Cocktail ",Coffee-Caramel Sauce ,Grog III ,Pearisburg,VA,4,ravenclaw,dogs,Puzzle,Tetris Worlds,0,3,0.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,4.0,male,single,classical,Carl Orff,San Diego Chargers,Ken,Payton,none,Goes to Independence Elementary,unemployed,,"['The Bad Batch', 'Dawn of the Planet of the Apes', 'Now You See Me 2']","['Highlander', 'X-Men: Days of Future Past', 'Highlander']",Bonjour tristesse,By the Sword,Mastiff,Françoise Sagan,Mercedes Lackey,Tamora Pierce,Roast Chicken Legs with Lemon and Thyme ,Atlanta Brisket ,Fresh Gluten-Free Pasta ,Payson,UT,2,slytherin,cats,Sports,FIFA 18,0,1,0.0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
9,53.0,male,single,rock,Flannel Of The Unrestrained,Washington Redskins,Joel,Seales,general_education,Went to Seal Gulch High School,Source Atlantic West,Works ascook atSource Atlantic West,"['I Spit on Your Grave III: Vengeance is Mine', 'Final Destination', 'Rings']","['Blade Runner', 'Non-Stop', 'The Maze Runner']",The Bronze Bow,Ghost Story,كخه يا بابا,Elizabeth George Speare,Jim Butcher,عبدالله المغلوث,"Heirloom Tomatoes with Bacon, Blue Cheese, and Basil ",Stuffed Peppers ,Sweet Potato and Roasted Mushroom Stuffing ,Demarest,NJ,4,hufflepuff,horses,Platform,Crash Bandicoot 2: Cortex Strikes Back,0,24,1.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
10,4.0,female,single,classical,Carl Orff,Cleveland Browns,Lois,Gravel,none,Goes to East Bridge Kindergarten,unemployed,,"['The Matrix', 'Furious 7', 'The Hunger Games: Mockingjay - Part 2']","['Jiro Dreams of Sushi', 'Kevin Hart: Laugh at My Pain', 'Who Killed the Electric Car?']","Split Infinity (Apprentice Adept, #1)",Practical Demonkeeping,Spider's Bite,Piers Anthony,Christopher Moore,Jennifer Estep,Sauteed Duck Foie Gras ,Indian Pudding ,Sweet-Bean Piroshki ,Elmo,MT,4,slytherin,fish,Music,Just Dance 2015,0,5,0.0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
